寄付先
こども食堂　あいさん家
子ども食堂 あいこのいえ
社会福祉法人　松江市社会福祉協議会
NPO法人なかよし会　すきっぷ
ほくほく子ども食堂
NPO団体　HSC 〜子どもたちの笑顔のために〜
やまっこ
